INSTITUIÇÃO;CONTRATO;TIPO PESSOA;DOCUMENTO;FINANCIADO;UF;ULTIMO EVENTO;DATA;HORA;PROTESTO;TAGS;BOLETO Á VENCER;PASTA(AT);PASTA(AT)ABERTA;PASTA(AD);PASTA(AD)ABERTA;HOT;BOM;INDEFINIDO;RUIM;R$ VENCIDAS;R$ VINCENDAS;R$ VENCIDAS + VINCENDAS;DIAS DE ATRASO;PARCELAS ATRASADAS;1º PARCELA;QTDE. PARCELAS RESTANTES;PLANO;DETALHE EVENTO;USÚARIO;BENS;BOLETO GERADO POR;CODIGO PESSOA;TIPO PESSOA.1;MARCA;MODELO;CHASSIS;PLACA;RENAVAM;COR;ANO;COMBUSTIVEL
Pinto;1243207;Jurídica;80.967.324/0001-32;Pedro Miguel Lima;DF;Atraso;2024-08-15;07:32:10;Não;Inadimplente;2;True;False;True;False;True;False;False;False;5377.83;9737.5;7588.21;193;5;2024-03-16;17;A;Repudiandae quibusdam molestias.;pedro-miguel22;Carro;Sistema C;44266;Física;Costela;illum;9590303025;CRV-2H67;21382783429;Azul;2021;Gasolina
Casa Grande;0840962;Jurídica;394.210.576-43;Brenda Almeida;PI;Pagamento;2024-06-04;09:34:27;Sim;Inadimplente;3;False;False;False;True;False;True;True;False;3191.57;4783.15;19904.75;310;8;2024-07-12;4;B;Error magnam delectus cupiditate optio asperiores.;qmartins;Casa;Sistema C;9333662;Física;Almeida;architecto;5339816573;AIO-5R23;14704888341;Preto;2018;Etanol
Cassiano;9871840;Jurídica;029.457.381-04;Thomas Pinto;PI;Protesto;2024-01-03;01:51:03;Sim;Inadimplente;0;False;False;False;False;True;True;False;True;6947.12;2624.09;18145.64;44;6;2024-04-17;19;A;Eum magni eum fugit porro.;luana99;Carro;Sistema A;3548624;Jurídica;Sampaio;magnam;4225999030;XUX-0E82;64055545318;Preto;2000;Diesel
Peixoto S/A;0365360;Física;819.625.403-24;Enrico Viana;AC;Pagamento;2024-07-16;16:43:41;Sim;Inadimplente;5;False;False;True;True;True;True;True;False;2645.86;5746.76;10408.14;296;3;2024-02-11;11;D;Perspiciatis dolorum animi a.;isabellymoura;Terreno;Sistema C;2899696;Jurídica;Campos Pimenta S/A;quo;6690704612;HWJ-4S88;64217290292;Branco;2001;GNV
Pacheco Aparecida - ME;9891689;Jurídica;795.638.104-57;Alice Sampaio;PI;Pagamento;2024-03-27;09:38:18;Sim;Fidelizado;5;True;True;False;True;False;False;False;True;2552.33;9727.54;10238.14;321;8;2024-07-09;5;A;Atque dolorum architecto illo.;imonteiro;Carro;Sistema C;2907925;Jurídica;Cunha;aliquid;4840915815;WTH-7B36;57844211062;Prata;2017;Gasolina
Ramos Lima e Filhos;0447354;Jurídica;843.159.672-46;Calebe da Costa;PA;Negociação;2024-02-16;00:58:21;Sim;Inadimplente;5;False;True;True;False;False;False;True;False;2568.57;7955.36;7195.78;206;4;2024-04-27;11;D;Dolorum non consequatur.;mendescaroline;Casa;Sistema A;705701;Jurídica;Montenegro da Conceição - EI;accusantium;3398162911;GVA-6W49;93922146722;Prata;2016;Híbrido
Gonçalves - ME;3162069;Jurídica;19.865.470/0001-46;Kamilly Pacheco;SE;Atraso;2024-07-30;14:58:37;Não;Inadimplente;1;False;False;True;True;True;False;True;True;1757.34;231.72;6993.33;279;0;2024-09-02;31;D;Incidunt fugiat eaque.;leonardo36;Casa;Sistema C;3563424;Física;Oliveira;dicta;9003080265;GML-2T87;17556355483;Vermelho;2003;Diesel
Pacheco;4008808;Física;709.812.543-14;Luara Fonseca;ES;Pagamento;2024-02-23;03:48:01;Sim;Fidelizado;0;True;False;False;False;True;False;True;True;3957.51;5695.72;1647.52;195;4;2024-06-10;16;B;Fugit sed asperiores.;matteofernandes;Carro;Sistema B;6649799;Física;Casa Grande e Filhos;commodi;2178717444;GIU-0Q51;08105893304;Azul;2009;Etanol
Cassiano;4777508;Física;78.156.342/0001-92;Benjamin Nunes;PB;Protesto;2024-01-05;18:18:59;Sim;Recente;0;True;False;False;True;False;False;False;False;6124.18;142.87;18150.84;301;4;2024-09-21;22;B;Suscipit impedit quo.;hadassa65;Casa;Sistema C;4946830;Jurídica;Fonseca;sit;0339559208;NIL-5H46;42377107584;Vermelho;2004;Gasolina
Câmara;9123337;Física;402.619.837-50;Maria Cecília Costa;PI;Protesto;2024-02-15;13:10:54;Não;Fidelizado;0;True;False;False;False;True;False;True;True;2900.24;2976.1;7956.83;245;1;2024-05-02;52;B;Natus cum commodi quos.;teixeiraluigi;Terreno;Sistema C;6650410;Física;Nascimento - ME;ullam;0291763922;ALK-8V85;96938818537;Prata;2011;GNV
Camargo;0387040;Jurídica;01.364.958/0001-24;Beatriz Abreu;TO;Pagamento;2024-04-14;12:46:01;Não;Recente;0;False;False;True;True;False;True;True;False;8227.62;8419.83;814.58;212;3;2024-02-05;33;C;Ipsum placeat ipsa sunt.;isadorasousa;Terreno;Sistema A;3857719;Física;Monteiro Vieira Ltda.;deserunt;3695288101;TMF-6S59;19372918861;Branco;2012;Híbrido
Ribeiro;8137753;Jurídica;264.980.537-47;Heitor Sampaio;SE;Negociação;2024-04-23;10:44:29;Sim;Inadimplente;0;True;False;False;False;True;False;False;True;2133.93;4054.34;12848.99;307;9;2024-07-10;11;A;Eos accusantium nemo doloremque consectetur explicabo.;umoura;Casa;Sistema A;4226916;Jurídica;Pinto;magni;2931198320;OUO-7J35;35315212095;Preto;2006;Híbrido
das Neves - ME;1076583;Física;210.934.657-43;Dra. Mariane Montenegro;AM;Pagamento;2024-03-02;13:22:34;Não;Cliente VIP;1;False;False;True;False;True;True;True;False;6872.66;5082.43;6060.89;254;1;2024-07-21;9;B;Pariatur quisquam id doloribus voluptates sed.;laraujo;Moto;Sistema B;7710821;Física;Alves Sampaio e Filhos;ut;0663737611;SLJ-6C72;63747865816;Preto;2008;GNV
Monteiro - EI;3107498;Física;716.258.409-85;Guilherme Sousa;DF;Pagamento;2024-04-08;18:54:32;Não;Recente;3;False;False;True;True;False;True;True;True;3980.83;4667.85;5399.78;147;4;2024-03-31;59;B;Saepe eum vel.;spimenta;Carro;Sistema B;9226767;Jurídica;Farias;facilis;1936321689;LQC-7N96;27076307586;Azul;2015;Diesel
Ramos S.A.;7131238;Física;43.169.587/0001-70;João Guilherme Fogaça;RJ;Protesto;2024-02-04;11:43:31;Não;Cliente VIP;1;False;True;False;False;False;True;True;True;8146.32;9376.56;207.64;270;7;2024-06-20;53;C;Aut numquam accusamus.;aragaoluana;Moto;Sistema C;3610485;Jurídica;Ramos;nesciunt;7619814620;JSW-7S63;52936771239;Prata;2008;Etanol
Pacheco;1955038;Física;576.839.024-38;João Vitor Camargo;MT;Atraso;2024-06-16;21:34:17;Não;Recente;4;True;True;False;False;True;False;False;False;4586.86;1690.15;9836.59;46;6;2024-02-20;32;D;Quaerat optio consequuntur alias inventore iure.;maiteabreu;Moto;Sistema C;4582245;Física;Lopes Lima Ltda.;libero;8065933018;CNN-7T69;56346937567;Vermelho;2021;GNV
da Mata;2520751;Jurídica;60.719.583/0001-37;Sr. Diogo Câmara;SE;Negociação;2024-06-18;07:27:43;Não;Inadimplente;2;True;True;False;True;True;True;True;False;9890.03;5247.13;8223.27;183;6;2024-05-12;29;C;Autem explicabo ducimus animi unde.;kaiquemacedo;Casa;Sistema C;4902705;Jurídica;Cirino;magni;1004684449;IVB-2Y68;99184993118;Azul;2016;Gasolina
Cirino Martins S.A.;0345656;Física;534.709.812-05;Isadora Barbosa;ES;Pagamento;2024-01-27;09:51:13;Não;Recente;1;True;False;True;True;False;True;True;False;332.22;3540.38;11079.26;134;2;2024-07-27;11;A;Laborum distinctio ullam.;cborges;Moto;Sistema C;184083;Jurídica;Correia;sunt;3322702864;KJK-0S51;58864983338;Preto;2019;Híbrido
Cavalcanti Ltda.;1238173;Física;20.138.675/0001-09;Daniela Sampaio;AL;Negociação;2024-01-12;11:31:11;Não;Cliente VIP;2;False;False;False;True;True;False;False;False;8479.32;713.56;10536.41;247;2;2024-04-17;53;B;Consectetur incidunt quae itaque temporibus consequuntur.;theodias;Terreno;Sistema A;1206247;Jurídica;Pacheco;quia;5250191063;ZIS-0X91;38193271727;Azul;2006;Diesel
Macedo;8559392;Física;97.560.281/0001-79;João Pedro da Rosa;RO;Negociação;2024-08-04;03:28:00;Sim;Cliente VIP;3;True;False;False;True;False;True;True;True;2014.37;4894.29;1975.33;21;7;2024-08-08;27;D;Eligendi repellendus corrupti temporibus blanditiis quia.;da-matamaria-eduarda;Casa;Sistema B;5220090;Jurídica;Siqueira S.A.;beatae;0991499284;FBM-4O73;44165481336;Preto;2021;Diesel
Rodrigues;6208051;Jurídica;530.498.167-75;Liam Carvalho;RN;Pagamento;2024-06-06;19:21:01;Sim;Fidelizado;0;True;True;False;False;True;False;False;True;7114.95;4368.53;4773.26;60;5;2024-05-16;30;A;Aliquam dignissimos repudiandae quidem sunt explicabo.;mathias22;Moto;Sistema B;6703870;Física;Rezende Fonseca - EI;voluptate;5228671839;RZE-2B93;04625476275;Branco;2001;Híbrido
Casa Grande Almeida - EI;8281510;Física;196.852.074-02;Henry Albuquerque;ES;Protesto;2024-06-19;23:12:06;Sim;Cliente VIP;1;False;True;False;True;True;True;True;False;9513.32;1939.6;19081.42;76;8;2024-06-15;32;A;Nam unde dignissimos.;alexia20;Moto;Sistema A;3626772;Física;Novais;velit;4431111751;WGH-7V62;75988464587;Preto;2004;GNV
Borges;6096543;Jurídica;417.289.563-82;João Farias;RS;Protesto;2024-09-08;15:55:34;Sim;Inadimplente;4;True;True;True;True;True;True;False;False;9813.27;6667.63;14498.97;347;4;2024-09-09;52;D;Voluptates asperiores mollitia suscipit nisi at.;diasluana;Carro;Sistema B;8295722;Jurídica;Martins;facilis;2251359853;ZMI-7X19;30705459054;Vermelho;2003;Diesel
Cardoso;4904982;Física;482.197.305-79;Maria Isis Novaes;PI;Atraso;2024-03-22;02:08:19;Não;Inadimplente;5;True;False;True;False;False;True;False;False;5984.0;2696.16;12221.85;17;2;2024-03-02;50;B;Nesciunt dicta sit.;pastorgustavo-henrique;Terreno;Sistema A;7614827;Jurídica;Martins Abreu - ME;iusto;7775424805;UJX-5Q86;80319525814;Azul;2008;Diesel
da Luz;1650643;Jurídica;129.075.638-40;Luiz Otávio Barbosa;MG;Negociação;2024-05-30;09:01:26;Sim;Fidelizado;4;True;True;False;False;True;True;True;True;3521.76;5119.95;3498.48;66;10;2024-06-29;6;C;Voluptatibus consectetur quae labore maxime nemo.;npeixoto;Casa;Sistema A;3121359;Jurídica;Mendes Cardoso S.A.;earum;6488008691;CHD-1X74;90675073173;Preto;2018;GNV
Castro;5549511;Jurídica;928.034.761-69;Bianca Montenegro;ES;Negociação;2024-03-08;05:51:43;Sim;Fidelizado;1;False;False;True;False;True;True;False;False;4026.29;7713.49;12193.35;47;2;2024-06-06;1;C;Dolore vitae voluptatum ea.;mendoncabernardo;Moto;Sistema C;6290858;Jurídica;Monteiro Azevedo S.A.;ab;1018778013;PSL-5W35;80548608364;Azul;2003;Híbrido
Macedo Martins S/A;7837597;Jurídica;815.749.602-02;Dante Machado;CE;Protesto;2024-03-24;03:02:05;Não;Recente;3;False;False;True;False;True;True;False;True;7716.85;6005.89;4384.68;165;7;2024-02-19;44;A;Veniam deleniti voluptatum voluptatibus vel.;almeidalara;Casa;Sistema B;3685799;Jurídica;Fonseca;totam;0385836838;HDF-2G35;82070290693;Prata;2019;GNV
Fernandes Siqueira - ME;5923358;Física;061.254.378-17;Nicole Novais;RJ;Pagamento;2024-04-13;19:23:27;Não;Recente;4;True;True;True;False;True;False;True;False;8521.0;267.88;17956.37;102;3;2024-05-24;53;D;Eligendi ipsa ipsa corrupti.;rafaela22;Terreno;Sistema A;5373498;Jurídica;Melo Cavalcanti S/A;eos;1090521656;GMY-7U15;37044749400;Vermelho;2009;Diesel
Almeida;1433544;Jurídica;807.531.469-75;Valentim Costela;RS;Protesto;2024-03-01;04:08:07;Sim;Inadimplente;5;True;False;True;True;True;False;False;False;186.3;5226.31;19400.96;18;3;2024-03-18;6;B;Harum necessitatibus nam nesciunt.;gcunha;Moto;Sistema C;2466274;Jurídica;Ribeiro S.A.;sunt;9955566345;EHN-4Q55;79672674394;Vermelho;2019;Diesel
da Cunha - EI;8737243;Jurídica;29.165.840/0001-96;Dra. Marcela Duarte;CE;Protesto;2024-02-20;17:30:18;Sim;Fidelizado;3;True;False;True;False;True;False;True;True;5052.86;8731.18;1057.34;110;6;2024-02-29;15;C;Delectus quae assumenda.;luan67;Carro;Sistema C;4024147;Jurídica;Teixeira Oliveira - EI;voluptatibus;3802147340;HDF-8E55;89321954189;Prata;2001;Etanol
Cardoso Gomes - EI;1801458;Física;462.183.907-13;Caleb Guerra;PE;Negociação;2024-07-07;01:45:43;Sim;Fidelizado;3;False;True;False;False;False;True;False;False;4955.1;6861.41;11053.61;316;1;2024-08-21;14;B;Magni dolor temporibus vel enim.;gael-henriqueda-rosa;Casa;Sistema C;645269;Jurídica;Gomes;inventore;7661526333;UHJ-7Y38;17688018352;Branco;2000;Diesel
Machado S.A.;6406360;Física;49.760.123/0001-10;Aylla Cavalcanti;RN;Pagamento;2024-08-07;04:29:59;Não;Fidelizado;5;True;True;True;True;True;True;True;True;4306.74;9045.06;7653.83;38;6;2024-04-25;43;A;Dignissimos saepe rerum.;fda-luz;Carro;Sistema C;3284485;Jurídica;Leão Macedo - ME;eos;1373146484;GQV-8U63;23543179313;Preto;2004;GNV
Garcia S/A;9735673;Física;241.609.753-99;Mateus Cunha;PR;Protesto;2024-06-19;20:21:07;Não;Inadimplente;1;False;True;True;True;False;True;False;False;2179.64;8590.59;16913.93;40;1;2024-03-30;45;B;Atque nihil ab quod beatae.;manuellaribeiro;Casa;Sistema B;5201127;Jurídica;Cassiano;quas;0333671466;SGL-6C94;73568004608;Preto;2003;Híbrido
Teixeira S.A.;7587512;Jurídica;075.319.842-88;Stella Silveira;RJ;Pagamento;2024-03-22;21:37:58;Sim;Recente;0;False;True;True;True;False;True;False;False;1708.97;1436.53;633.6;321;9;2024-08-10;10;B;Corrupti autem cum at.;julia69;Terreno;Sistema C;9002894;Jurídica;Cavalcanti;accusamus;6944342350;DSS-3A91;29264628525;Preto;2019;Híbrido
Dias;1540939;Física;01.275.643/0001-00;Mariane Cavalcanti;MS;Atraso;2024-08-11;23:11:06;Não;Inadimplente;1;True;False;True;False;True;False;False;False;3136.97;3526.63;4606.22;231;6;2024-06-18;47;C;Quos impedit excepturi tenetur at.;cunhaana-luiza;Moto;Sistema C;4035872;Física;Teixeira;labore;1680149653;DGG-3Z28;67520138175;Prata;2021;Gasolina
Ramos Vargas - ME;5482291;Jurídica;83.027.916/0001-62;Maria Sophia Souza;PE;Protesto;2024-09-01;04:55:16;Sim;Inadimplente;4;True;True;True;True;True;False;True;False;5003.36;2733.76;13793.2;231;9;2024-08-27;7;B;Totam quo blanditiis accusamus aut.;levi59;Terreno;Sistema B;9977683;Física;Vieira;dignissimos;0667622733;UIJ-2D91;13496410887;Preto;2021;Etanol
Rios;4883747;Jurídica;678.312.409-69;Danilo Vargas;SE;Protesto;2024-08-19;12:35:08;Sim;Recente;2;False;True;True;False;False;True;False;True;4435.57;6660.93;5729.64;223;8;2024-04-17;16;A;Illo vitae vitae voluptatum suscipit.;joao-felipe40;Terreno;Sistema C;2146101;Física;Ramos S.A.;dolorum;1165855602;DDE-7V34;14034244750;Prata;2002;Etanol
Montenegro;1350604;Física;186.430.597-57;Beatriz da Luz;BA;Protesto;2024-01-22;13:40:07;Não;Inadimplente;4;False;False;False;True;True;False;False;False;4465.24;4637.97;10769.91;222;2;2024-05-22;58;D;Cum deserunt et qui voluptatibus.;anthony-gabriel75;Casa;Sistema C;1655875;Jurídica;Azevedo S.A.;velit;6421888552;SQT-0P97;39350595117;Azul;2000;Etanol
Barbosa da Conceição S.A.;1885270;Jurídica;13.275.904/0001-71;Alícia da Costa;AL;Protesto;2024-03-24;10:35:52;Sim;Inadimplente;5;False;True;True;True;True;False;False;True;4042.81;3377.86;15811.34;97;0;2024-05-15;26;A;In porro voluptatibus vel occaecati odio.;barbosaana-cecilia;Casa;Sistema B;994853;Jurídica;Rios;aliquid;9081493766;ZND-1S06;64731179579;Branco;2020;Diesel
Albuquerque;8407053;Física;762.304.951-80;Antonella Moura;ES;Protesto;2024-04-19;13:02:53;Sim;Inadimplente;3;True;True;True;False;True;False;True;True;5193.29;5451.3;1008.76;336;4;2024-01-12;27;A;Vel dolorem mollitia facere earum.;enogueira;Terreno;Sistema C;2829729;Jurídica;Leão;repellat;2471290186;SLT-0Q52;76104616642;Azul;2018;Etanol
Fogaça;2153442;Jurídica;67.310.294/0001-29;Maria Helena da Mota;RN;Negociação;2024-07-11;14:10:37;Sim;Fidelizado;2;True;True;False;True;True;False;True;False;2980.79;7419.71;12289.89;320;7;2024-09-03;59;B;Nostrum nam illo omnis.;ayla75;Terreno;Sistema C;7165049;Física;Lopes S.A.;ratione;6732397531;TNO-9T05;19410173310;Azul;2019;Híbrido
Nogueira;2179956;Física;354.689.217-82;Maitê Leão;MA;Pagamento;2024-05-05;17:02:28;Sim;Cliente VIP;2;True;False;False;False;False;True;True;False;5101.56;8891.11;14523.89;348;2;2024-04-28;16;C;Eos quas in molestias delectus sit.;andradejoao-pedro;Casa;Sistema B;8669199;Física;Costela da Mota e Filhos;veritatis;4573633939;VVT-0X76;04761551479;Vermelho;2007;Diesel
Cavalcante Pereira S.A.;2530505;Física;502.187.346-62;Gabriel Silva;RN;Protesto;2024-02-17;12:55:20;Sim;Cliente VIP;1;True;False;False;True;True;True;False;False;8191.51;3214.26;395.86;173;3;2024-07-29;59;D;Itaque cumque provident ex.;alexianovaes;Terreno;Sistema B;8309371;Física;Lima Montenegro S.A.;accusantium;5827607581;FFP-5Z26;81442356133;Preto;2007;Gasolina
Silva;5752180;Física;61.835.042/0001-37;Bruna Gonçalves;PB;Negociação;2024-04-07;06:16:06;Não;Fidelizado;1;True;True;True;False;True;False;True;True;6886.86;1098.2;11606.67;133;8;2024-01-09;33;B;Molestias consequatur aliquam dolores voluptatum perspiciatis.;liviasouza;Terreno;Sistema A;7978445;Física;Viana Garcia S/A;voluptatem;5061802467;NIV-3U78;03757471733;Vermelho;2022;Diesel
Rodrigues;5257924;Física;157.098.632-03;Sr. Bryan Oliveira;RO;Protesto;2024-08-11;15:31:42;Sim;Recente;5;True;True;True;False;True;False;False;True;1674.72;7777.46;15955.83;252;3;2024-01-10;13;D;Quos amet odit dolor reiciendis excepturi.;fernandaaraujo;Moto;Sistema B;9689023;Física;Ribeiro;illum;7184866584;ZXX-2S46;86092821226;Vermelho;2000;Gasolina
Sousa e Filhos;1799637;Jurídica;146.970.852-30;Dr. João Lucas Ferreira;RN;Atraso;2024-04-20;18:11:31;Sim;Inadimplente;4;True;True;True;True;False;False;True;True;1846.13;2702.73;17683.38;109;5;2024-07-09;3;D;Doloribus consequatur neque officiis maxime ad.;pastorpedro;Moto;Sistema C;79522;Física;Macedo - ME;consequuntur;7227655664;ADH-3S99;89339695393;Vermelho;2019;Etanol
Lopes;0243323;Física;04.861.937/0001-02;Daniela Rocha;TO;Pagamento;2024-05-26;03:18:46;Sim;Fidelizado;0;True;True;True;False;False;True;False;True;7719.56;436.97;18911.96;65;1;2024-02-21;55;B;Minima aliquid hic.;maria-sophiaandrade;Casa;Sistema B;5274385;Física;Mendonça S/A;voluptatum;9164484921;OCA-9N50;31199231500;Prata;2014;Etanol
Silveira;6821195;Jurídica;69.152.804/0001-02;Luiz Henrique Guerra;RR;Protesto;2024-08-11;04:35:55;Sim;Recente;4;False;True;True;False;False;True;True;False;5166.45;7112.51;15680.63;123;0;2024-06-20;1;B;Quasi quod pariatur.;pedro-miguel79;Casa;Sistema C;5235034;Jurídica;Pinto;soluta;1455977496;WBM-3R24;18583624011;Prata;2017;Diesel
Viana Rezende - EI;3977301;Jurídica;973.086.124-22;Thales Mendonça;AP;Pagamento;2024-07-29;07:33:38;Não;Recente;4;True;True;False;False;True;True;False;False;7195.61;206.53;16262.04;214;5;2024-09-24;53;A;Numquam accusantium magni quis placeat.;cecilia78;Moto;Sistema B;1581851;Física;Albuquerque;dolorem;0095130381;RBJ-0B12;90506244529;Branco;2019;Etanol
Silveira Lopes - EI;2624406;Física;792.436.501-06;Sophie Moreira;AP;Atraso;2024-05-05;08:16:04;Sim;Recente;2;True;True;True;True;True;False;True;True;6555.67;4921.17;17006.69;357;6;2024-09-15;45;B;Iure cum odio.;mendeseduardo;Moto;Sistema C;4929556;Jurídica;da Costa;sed;9030699240;BSO-3B40;96432616476;Branco;2000;GNV
Pereira S/A;1786276;Física;052.978.634-65;Sra. Luna Rocha;RS;Atraso;2024-07-30;22:14:11;Sim;Recente;3;True;False;True;True;True;True;False;False;8242.49;8220.96;13287.92;343;4;2024-01-02;24;A;Minus sequi expedita ipsa pariatur.;luigi35;Terreno;Sistema C;3494387;Jurídica;da Luz;repellendus;6644515894;BRR-0A47;00013850727;Prata;2005;Híbrido
das Neves S/A;0831232;Jurídica;60.137.829/0001-62;Vinicius Silveira;AL;Negociação;2024-08-15;18:18:53;Sim;Fidelizado;3;False;True;False;False;False;True;True;True;5019.09;3143.14;16797.68;221;10;2024-02-14;55;A;Maxime perferendis dicta animi deleniti fuga.;davi-luizmontenegro;Terreno;Sistema B;8324231;Física;das Neves - ME;voluptate;3017767982;TAK-1Y91;91968161204;Prata;2012;Etanol
da Luz e Filhos;0284733;Física;56.328.071/0001-72;Maria Aragão;AL;Negociação;2024-07-18;02:14:09;Sim;Fidelizado;0;False;True;True;True;False;True;False;True;6828.22;4929.55;15720.32;181;4;2024-04-05;31;C;Harum ipsam exercitationem cum praesentium.;igorda-paz;Terreno;Sistema B;1770578;Jurídica;Castro S.A.;laudantium;6089369427;JSH-6Q15;36160720037;Prata;2008;Gasolina
da Mata Barros - EI;0889068;Física;567.439.210-25;Sr. Mathias Castro;MG;Pagamento;2024-06-05;13:49:35;Não;Inadimplente;2;True;False;False;False;False;True;False;True;9225.56;3925.0;14660.6;123;4;2024-08-16;11;C;Dolorum libero consequatur corporis asperiores.;moreirarafaela;Terreno;Sistema B;3343895;Física;Abreu - ME;neque;8898414754;HKH-6K98;38785509688;Branco;2003;Diesel
Machado Moura Ltda.;9625849;Física;54.897.632/0001-29;Isaque da Conceição;RJ;Negociação;2024-06-20;05:44:17;Não;Recente;4;False;False;True;True;False;False;True;True;162.99;1548.83;9110.2;38;5;2024-04-06;57;B;Asperiores aperiam at.;maysa01;Terreno;Sistema B;912879;Física;Vargas;minima;7605260858;BLO-8M76;43936989021;Prata;2020;GNV
Araújo Gomes - ME;0359458;Jurídica;274.106.593-43;Rafaela Sales;RJ;Atraso;2024-09-19;23:17:52;Sim;Recente;5;False;True;False;True;True;True;True;False;7473.48;9430.73;13925.59;296;3;2024-08-10;45;B;Veniam alias odio.;ramosravi-lucca;Terreno;Sistema A;1608691;Física;da Costa - ME;itaque;7796616808;ERF-4I08;57042455903;Prata;2008;GNV
Melo Teixeira - ME;7222289;Jurídica;817.420.359-14;Nina Nunes;SP;Protesto;2024-03-10;18:00:34;Não;Inadimplente;5;True;True;True;False;False;True;True;False;2373.38;8611.68;17700.9;269;2;2024-03-26;30;D;Ullam deleniti delectus laborum.;thomasbarros;Casa;Sistema C;3339431;Física;Borges;consequuntur;9461165528;UVO-9P69;13650678559;Vermelho;2013;Gasolina
Martins;2360130;Física;184.203.675-08;Heloísa Albuquerque;MT;Protesto;2024-07-13;23:28:20;Sim;Inadimplente;5;False;True;True;True;True;True;False;False;1714.2;527.01;8905.08;236;3;2024-10-01;60;B;Soluta minus impedit blanditiis.;da-rochaemanuella;Moto;Sistema C;3413109;Física;da Conceição;blanditiis;6306670923;VTL-7Y51;27307332493;Azul;2005;Híbrido
Oliveira Rodrigues Ltda.;2779354;Física;24.817.536/0001-62;Thiago Ribeiro;TO;Negociação;2024-07-01;20:39:08;Não;Fidelizado;1;False;True;True;False;True;False;False;True;1125.18;8196.32;11928.78;324;8;2024-04-19;26;A;Nihil commodi magnam dignissimos praesentium.;zleao;Casa;Sistema C;5486535;Física;Almeida da Conceição Ltda.;animi;7730445975;OPS-4Z86;68065604916;Prata;2014;GNV
Porto da Mata S/A;0897585;Física;51.902.638/0001-59;Calebe Mendonça;PA;Protesto;2024-09-29;09:03:43;Não;Fidelizado;3;False;True;False;False;True;False;True;True;6668.98;5143.11;12307.7;207;0;2024-02-18;25;C;Veniam repudiandae odit illo explicabo.;asafe64;Moto;Sistema C;7831685;Física;da Cunha;repellat;8591251801;CFF-3H31;28229641827;Branco;2007;Híbrido
Novais Jesus e Filhos;6518132;Jurídica;491.853.720-05;Sra. Bella Oliveira;AM;Atraso;2024-05-03;06:12:35;Sim;Fidelizado;5;False;True;True;False;False;False;True;False;7337.97;8091.96;5915.96;244;3;2024-07-10;59;B;Officia autem consequatur.;da-luzrafaela;Casa;Sistema A;7222941;Jurídica;Castro S.A.;harum;9881733497;DAA-3T46;95286053411;Vermelho;2020;Híbrido
Cassiano;9401714;Física;416.730.528-35;Oliver Barros;PE;Pagamento;2024-05-18;13:39:06;Sim;Cliente VIP;4;False;True;True;False;False;False;True;True;2877.6;3398.24;6143.06;148;2;2024-01-20;39;D;Ut ex aspernatur magni.;pietro64;Casa;Sistema B;4493093;Jurídica;Sousa;dicta;5988113124;GNB-5D51;30913698624;Vermelho;2005;Etanol
Guerra Pimenta S.A.;7296456;Física;694.830.215-70;Maria Vitória da Costa;CE;Protesto;2024-06-17;02:54:19;Não;Inadimplente;4;False;False;False;True;False;True;True;True;1750.74;3927.54;7919.67;120;10;2024-01-08;31;D;Aliquam fugiat ut quidem.;benjaminmarques;Carro;Sistema C;7014580;Física;da Rosa;cum;0453644988;PED-1W56;36612350267;Preto;2001;Híbrido
Pacheco Aparecida S.A.;3945909;Jurídica;973.845.016-01;Francisco Viana;PB;Protesto;2024-06-14;08:45:28;Não;Inadimplente;1;False;True;False;False;False;False;False;True;3696.37;9474.38;9939.01;222;3;2024-03-28;0;B;Debitis perspiciatis ipsa iusto quidem exercitationem.;hdas-neves;Terreno;Sistema A;8340803;Jurídica;Barbosa;quas;9813151518;EHT-8U62;82896990577;Prata;2010;Etanol
Gonçalves Jesus S.A.;3297187;Física;98.023.417/0001-74;Dra. Ana Oliveira;PR;Pagamento;2024-03-15;15:13:57;Não;Inadimplente;1;False;True;True;False;False;True;False;False;9718.17;5289.87;9729.42;115;6;2024-05-02;46;A;Temporibus error recusandae at officiis quisquam.;luaralopes;Terreno;Sistema B;3142152;Jurídica;Abreu;repellendus;3157233819;JVT-1X84;83821036378;Vermelho;2012;Híbrido
Freitas;4470499;Física;50.921.846/0001-32;Benjamim Melo;CE;Negociação;2024-05-01;23:46:31;Sim;Fidelizado;0;False;False;False;True;False;True;False;True;7157.53;9781.92;1564.24;241;3;2024-09-21;18;A;In perferendis sapiente quo.;gabriel65;Casa;Sistema B;7191500;Jurídica;Gonçalves;consequatur;4867012297;UJX-4E07;76523201861;Preto;2012;Gasolina
Cavalcanti - ME;3359683;Física;80.427.156/0001-92;Heloisa Freitas;PE;Protesto;2024-04-06;15:57:36;Sim;Cliente VIP;0;False;False;False;True;True;False;True;True;9789.49;9463.58;17463.47;313;5;2024-01-17;42;B;Expedita consequuntur labore.;julia78;Casa;Sistema C;4631866;Física;Azevedo - ME;a;5949994511;LKV-1E01;24601099831;Branco;2000;Etanol
